,RH_mean,Temp_mean,RH_max,Temp_max,RH_min,Temp_min,RH_sd,Temp_sd,Datetime,site,soil_type,monitor_station,treatment,habitat
67,108.07889784946228,-2.9088817204301103,110.402,0.064,106.135,-6.949,0.795794218481834,2.067441146451914,2014-01-31 00:00:00,H,2,M2,H,C
68,106.3055714285714,2.954958333333334,114.494,17.584,79.533,-5.947,7.33990745064946,4.995311625092717,2014-02-28 00:00:00,H,2,M2,H,C
69,104.23754867256638,6.581681415929206,115.291,19.585,28.67,-3.4419999999999997,11.298019867588005,5.453169521128918,2014-03-31 00:00:00,H,2,M2,H,C
70,96.86689583333333,10.258333333333335,112.76899999999999,24.113000000000003,41.113,-0.941,16.273701727790435,7.038351742292148,2013-10-31 00:00:00,H,2,M2,H,C
71,101.32877348066299,4.2635303867403325,111.90899999999999,19.611,81.027,-4.958,8.078559581355702,5.959843423131031,2013-11-30 00:00:00,H,2,M2,H,C
72,105.55823118279592,-3.614639784946235,110.16799999999999,12.099,87.311,-12.498,3.2057149348469247,3.773785286481295,2013-12-31 00:00:00,H,2,M2,H,C
73,106.91753225806445,-3.424774193548391,108.40299999999999,0.063,104.796,-7.471,0.7032608539523851,1.964008441821626,2014-01-31 00:00:00,H,2,M2,H,C
74,105.66995833333331,3.065839285714285,112.34,23.113000000000003,77.256,-4.958,5.836739865348687,5.747679172693954,2014-02-28 00:00:00,H,2,M2,H,C
75,103.80598214285712,7.276151785714285,113.624,23.613000000000003,74.515,-3.451,8.392441361110745,6.650605034062385,2014-03-31 00:00:00,H,2,M2,H,C
76,102.76620408163267,8.922387755102044,118.88600000000001,23.142,59.556999999999995,-0.917,12.90785818629427,6.232450661043926,2013-10-31 00:00:00,H,2,M2,H,C
77,107.17087222222217,3.016677777777782,117.176,18.139,90.925,-4.938,5.729216370833881,5.069140099475134,2013-11-30 00:00:00,H,2,M2,H,C
78,108.91361290322573,-4.157795698924726,112.78399999999999,10.624,97.59200000000001,-12.484000000000002,1.915556381150151,3.539235567361801,2013-12-31 00:00:00,H,2,M2,H,C
79,109.66654301075268,-3.66236559139785,111.43299999999999,-0.415,108.223,-6.949,0.6196295936167047,1.7636487287987421,2014-01-31 00:00:00,H,2,M2,H,C
80,108.94239880952377,2.442845238095236,117.176,21.642,85.061,-5.44,4.735714790455643,5.419781295704708,2014-02-28 00:00:00,H,2,M2,H,C
81,106.11026548672564,7.0122566371681385,117.60600000000001,23.642,53.93600000000001,-3.43,9.598645380634975,6.949358044322669,2014-03-31 00:00:00,H,2,M2,H,C
82,49.56771428571429,17.983738095238092,72.137,37.128,17.56,-0.415,15.626799508920081,11.528496310171391,2013-04-30 00:00:00,H,1,M2,H,C
83,66.47817741935484,20.635129032258078,111.426,47.096000000000004,21.119,0.087,25.184221475461687,11.120915312053018,2013-05-31 00:00:00,H,1,M2,H,C
84,32.39589999999999,30.199105555555562,81.774,55.555,12.495999999999999,6.6129999999999995,12.129488344457275,13.082587976039246,2013-06-30 00:00:00,H,1,M2,H,C
85,37.78385483870966,33.144704301075265,109.431,55.555,9.561,15.635,24.335534669694372,11.830030831500427,2013-07-31 00:00:00,H,1,M2,H,C
86,38.5450376344086,29.424736559139753,111.031,50.581,10.297,12.128,28.405047190904206,11.19796410117958,2013-08-31 00:00:00,H,1,M2,H,C
87,92.8633388888889,20.089683333333337,110.235,44.108000000000004,33.538000000000004,1.594,16.306398138731033,8.431152842353029,2013-09-30 00:00:00,H,1,M2,H,C
